,,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45
j48,j47,52,55,58,55,54,55,55,60,55,68,55,56,57,65,56,55,55,57,56
j47,j46,47,47,48,48,47,55,47,54,47,65,48,46,48,67,65,46,38,36,48
j46,j45,27,45,48,48,47,47,46,52,48,66,49,63,48,68,47,47,33,28,26
j45,j43/44,24,52,63,61,65,46,63,51,63,63,63,60,63,64,46,65,51,29,33
j43/44,j43,58,60,66,61,65,64,62,63,64,63,63,60,66,68,69,65,63,65,67
j42,j42,64,63,66,59,62,59,59,60,65,69,61,58,48,59,63,67,57,65,68
j42,j41,63,62,67,58,64,64,61,65,64,65,64,61,63,58,60,63,62,64,68
j41,j40,62,60,65,60,58,66,65,63,66,59,66,69,66,65,65,60,65,70,70
j40,j39,62,70,64,65,66,67,68,62,70,61,63,70,64,40,67,68,70,68,70
j39,j38,63,68,63,67,65,67,65,67,70,57,61,70,64,23,70,66,69,62,68
j38,j37,63,66,67,62,66,64,61,65,65,49,65,66,65,17,70,60,66,69,67
j37,j36,63,58,61,66,64,68,65,66,66,52,59,59,69,35,67,61,68,62,66
j36,j35A,58,48,55,64,58,67,59,62,59,57,55,48,67,51,59,56,58,48,58
j35A,j35A,48,47,49,56,48,60,53,58,48,49,47,48,66,61,47,53,48,49,46
j35,j34,48,48,48,48,49,52,48,49,53,52,47,48,60,64,48,50,50,49,48
j34,j33,34,57,48,48,49,52,42,48,63,54,51,62,53,64,41,31,43,49,49
j33,j32,55,50,61,48,61,52,61,49,50,62,60,51,48,65,62,44,60,62,62
j32,j31,50,59,49,58,51,63,49,62,55,51,49,58,49,63,47,49,52,49,49
j31,j30,60,63,59,49,61,48,55,55,58,60,59,64,60,63,65,55,58,55,57
j30,j29A,65,61,61,57,70,58,61,61,64,63,66,64,54,63,60,67,64,65,65
j29A,j29,65,64,59,63,67,62,65,63,65,65,65,61,57,65,62,68,61,62,67
j29,j28,64,67,63,65,67,63,65,63,65,69,67,66,63,63,63,64,57,56,55
j28,j27,62,61,63,66,67,62,65,66,66,68,63,66,58,59,66,63,44,51,62
j27,j26,62,63,59,65,64,65,63,64,62,64,63,62,65,68,65,64,61,60,60
j26,j25,64,60,64,68,64,63,62,64,68,64,64,63,66,35,64,37,59,50,57
j25,j24A,62,62,62,66,62,61,62,64,68,66,67,63,64,58,68,41,50,26,55
j24A,j24,51,65,51,70,63,58,62,63,66,63,69,66,62,66,63,61,57,49,54
j24,j23,66,65,63,66,66,61,63,62,62,64,61,64,63,65,61,39,45,45,55
j23,j22,70,69,64,68,65,62,67,62,69,65,63,62,64,65,19,36,16,19,59
j22,j21A,63,58,65,64,64,60,70,66,66,62,65,59,64,66,58,39,51,62,65
j21A,j21,60,70,63,60,62,63,62,61,64,58,59,66,59,66,59,55,38,37,38
j21,j20,67,67,70,62,65,59,59,67,66,66,64,61,64,57,65,67,67,61,68
j20,j19,60,65,70,62,64,67,65,66,64,60,66,63,68,65,64,57,70,59,70
j19,j18,59,68,67,64,62,65,63,66,65,62,64,66,65,69,62,62,61,64,69
j18,j17,68,62,65,67,61,64,68,68,63,67,67,65,68,61,67,62,60,69,68
j17,j16,67,62,66,63,60,65,68,65,65,59,62,63,66,49,65,60,58,63,66
j16,j15A,60,63,62,61,62,64,61,62,61,59,60,61,64,63,59,60,61,62,63
j15A,j15,58,65,65,63,59,62,52,58,51,60,61,64,60,48,61,61,62,61,66
j15,j14,61,65,65,59,62,65,65,62,34,61,63,64,62,47,62,63,62,64,66
j14,j13,64,61,60,61,60,65,63,62,14,62,62,62,66,47,65,61,65,64,68
j13,j12,49,52,50,52,51,52,51,49,18,52,51,50,50,57,35,51,51,50,49
j12,j11A,30,35,35,34,34,34,35,35,40,34,34,35,34,63,30,33,34,31,27
j11A,j11,16,19,14,16,14,16,15,14,59,14,13,15,15,68,19,15,15,18,16
j11,j10,23,28,23,28,22,24,14,18,60,16,21,22,20,63,26,22,15,19,26
j10,j9,48,52,55,56,49,34,28,35,59,41,47,45,28,68,46,26,23,17,17
j9,j8,62,59,60,64,63,64,63,59,69,60,64,64,61,67,64,58,42,30,23
j8,j7,55,52,52,58,56,58,59,56,67,54,57,54,57,66,55,52,54,55,49
j7,j6,62,61,60,61,60,63,63,59,70,62,62,61,60,57,57,57,58,57,53
j6,j5,63,65,63,67,68,66,68,62,65,70,60,63,59,64,60,61,60,60,63
j5,j4,70,68,62,64,66,67,63,65,60,67,64,68,63,64,62,61,62,56,62
j4,j3,68,69,68,63,64,60,65,69,60,69,64,70,60,48,60,45,27,19,23
j3,j2,65,70,70,65,63,63,70,68,65,68,66,61,58,48,58,59,59,48,61
j2,j1,60,64,68,63,68,56,65,60,69,69,66,65,57,55,64,66,57,59,70
