,,08:45:00,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,
j48,j47,48,50,48,48,48,48,25,30,28,22,19,22,18,19,28,27,32,39,46,
j47,j46,47,52,48,50,47,47,37,38,42,41,37,38,30,23,23,28,35,41,46,
j46,j45,60,58,58,61,54,54,59,55,58,53,58,56,47,46,52,52,57,58,61,
j45,j43/44,68,59,66,60,59,59,66,64,63,63,64,64,66,63,59,63,65,65,67,
j43/44,j42,66,60,65,66,59,59,65,63,63,65,65,64,65,63,65,66,62,68,65,
j42,j41,63,59,63,64,59,59,66,63,60,66,65,66,65,64,64,65,61,64,67,
j41,j40,64,59,67,65,36,63,64,64,59,67,68,63,64,63,66,67,64,68,69,
j40,j39,62,61,69,64,60,60,63,68,61,66,62,68,61,64,68,68,64,68,69,
j39,j38,67,63,70,66,63,63,63,68,64,67,69,68,64,66,67,69,66,70,70,
j38,j37,67,65,67,68,63,63,64,67,63,68,69,66,67,66,64,69,70,68,69,
j37,j36,67,66,66,70,64,64,65,62,63,66,67,64,66,67,57,64,70,67,69,
j36,j35A,65,66,62,67,63,63,62,60,67,60,66,65,62,67,43,63,66,65,66,
j35A,j35,50,49,49,53,50,50,48,48,49,49,50,49,49,49,47,47,48,49,51,
j35,j34,49,48,48,49,48,48,47,49,49,50,49,49,49,48,30,44,31,45,47,
j34,j33,47,54,48,48,48,48,35,40,32,27,21,46,50,29,47,14,17,19,41,
j33,j32,50,52,51,52,52,52,49,48,48,45,48,49,50,43,38,45,54,46,49,
j32,j31,51,49,55,50,49,49,50,53,52,43,40,38,44,41,48,47,55,50,50,
j31,j30,49,53,53,48,47,47,47,52,53,47,46,46,53,47,50,48,54,48,48,
j30,j29A,51,63,55,51,51,51,50,51,55,51,55,50,54,50,62,51,57,51,52,
j29A,j29,60,63,63,65,60,60,65,60,63,64,66,66,66,66,68,64,64,67,65,
j29,j28,60,65,64,65,61,61,63,56,66,64,64,68,65,68,63,62,62,67,63,
j28,j27,64,67,68,64,67,67,63,63,67,63,66,68,64,67,61,64,66,68,70,
j27,j26,68,67,68,65,68,68,64,63,63,70,62,62,66,70,66,68,69,70,69,
j26,j25,69,66,65,64,67,67,67,64,62,64,65,63,65,67,66,67,66,60,70,
j25,j24A,70,62,66,65,62,62,64,63,62,66,64,64,67,65,65,66,66,63,69,
j24A,j24,68,64,67,66,61,61,62,64,62,63,64,65,66,66,65,66,64,64,68,
j24,j23A,67,70,56,61,59,59,63,60,61,64,59,65,64,65,66,65,65,68,66,
j23A,j23,64,70,62,63,62,62,64,67,63,67,64,66,66,68,67,66,66,70,65,
j23,j22,60,69,61,64,61,61,64,68,64,67,63,65,64,64,70,66,64,66,68,
j22,j21A,66,64,61,70,67,67,65,65,63,70,70,70,66,62,50,70,68,70,70,
j21A,j21,64,68,61,60,66,66,56,54,35,49,63,62,61,45,68,44,49,61,66,
j21,j20,70,61,70,67,65,65,62,63,60,65,68,66,63,67,66,67,70,68,69,
j20,j19,66,60,70,69,64,64,45,58,62,69,66,69,66,69,59,70,70,69,62,
j19,j18,66,58,63,67,62,62,64,60,65,65,68,67,67,67,57,68,67,65,62,
j18,j17,58,64,64,63,67,67,58,62,63,63,65,68,68,68,62,67,65,63,65,
j17,j16,68,63,65,63,63,63,64,55,66,61,64,66,66,67,64,65,66,67,64,
j16,j15A,67,65,63,63,60,60,61,62,67,63,65,58,61,61,66,60,64,64,67,
j15A,j15,66,65,65,62,63,63,62,62,65,62,67,62,62,62,70,58,61,67,67,
j15,j14,63,58,64,62,65,65,65,65,66,63,65,65,66,68,51,66,66,67,67,
j14,j13,61,49,60,57,62,62,59,50,58,56,61,59,60,63,50,59,62,58,63,
j13,j12,53,48,51,52,53,53,52,50,52,52,52,53,48,53,33,48,46,50,52,
j12,j11A,50,50,48,52,51,51,50,51,52,43,48,36,26,43,31,25,29,17,14,
j11A,j11,47,53,51,51,48,48,47,51,50,30,42,23,27,7,42,27,23,20,20,
j11,j10,48,64,60,48,49,49,48,51,50,50,47,42,26,33,49,43,46,44,43,
j10,j9,59,61,61,62,61,61,61,62,63,63,61,62,17,33,55,57,61,61,62,
j9,j8,62,55,58,61,61,61,60,60,65,60,59,60,58,55,52,58,58,61,61,
j8,j7,56,65,60,55,54,54,46,45,45,47,52,55,44,50,47,53,58,54,60,
j7,j6,60,70,70,62,57,57,59,39,57,58,59,62,63,58,70,41,62,66,62,
j6,j5,70,67,65,70,65,65,70,57,70,68,69,70,68,70,70,70,69,70,70,
j5,j4,68,64,70,63,61,61,67,65,65,65,68,69,65,65,69,69,65,67,68,
j4,j3,68,65,66,60,63,63,67,69,68,61,62,63,64,67,68,70,66,70,68,
j3,j2,67,58,65,64,68,68,65,69,68,65,70,63,70,70,68,64,69,70,70,
j2,j1,59,63,60,64,60,60,60,61,58,60,60,63,64,62,54,62,34,69,62,
